,firm,pros: career opportunities,pros: compensation and benefits,pros: senior management,pros: work life balance,pros: culture and values,pros: diversity and inclusion,cons: career opportunities,cons: compensation and benefits,cons: senior management,cons: work life balance,cons: culture and values,cons: diversity and inclusion,index,opportunities,compensation,management,worklife_balance,culture,diversity,kmeans_labels
914,RONA,"Flexible hours, flexible managers, learn a lot","food is so good and free, Lots of work tools available, Base pay can be a little higher",Senior management is supportive and provides manager guidance when needed.,"Although the work schedule can be long at times, the company prioritizes a healthy work-life balance.",The organization's culture emphasizes the importance of teamwork and collaboration.,This organization offers new immigrants a great place to start their career journey.,"Low salary, unpaid time off as part-time","I didnâ€™t appreciate the lack of snacks provided, not a lot of money for the work",Strenuous work conditions that aren't reflective of a fair wage. Also forklift certification isn't transferable anywhere else.,"Sometimes not flexible with schedule., Short lunches; The company claims to offer a healthy work-life balance but has been known to have long hours and high stress.; Very toxic environment because management weren't very supportive.",Poor management and customer satisfaction,"Difficult to call in sick, disrespectful coworkers, dirty workspace.",1956,2.91,2.68,2.89,3.44,3.07,3.55,3
915,RTI-International,"While career advancement may have limitations for bachelor's level analysts, there are opportunities to learn good BD practices and grow professionally.","decent pay when you include your mileage, The organization offers competitive salaries, flexible schedule, and good benefits.",,"Great team-oriented environment and flexible hours are a great boon to work/life balance., A generally strong company culture, Big and positive focus on diversity and equity","The company prioritizes culture and seeks to may employees happy., Lots of interesting work, focus on diversity and inclusion","A generally strong company culture, Big and positive focus on diversity and equity, Lots of interesting work, focus on diversity and inclusion","Climbing up the corporation ladder is not easily provided to everyone., Teams can be siloed at times, Does not keep up with changing technologies in the market. Limited scope for career advancement.","Starting pay is drastically lower than commercial companies. Not adjusted for inflation., Salaries are not as competitive as at other companies, Pay low, not adjusted to cost of living.",Leadership at top is lacking -- high pay with little accountability.,"Many people are over extended, long hours, too much work, Limited work life balance. A culture if over-working, not taking leave etc.",,"Fear culture driven by an ill-defined management structure with poor employee relations, career path/growth",1899,3.73,3.82,3.69,4.0,4.18,4.12,2
916,Raiffeisen-International,Great career opportunities for growth vertically and horizontally within the large organization.,"They pay you a lot of money, very good compensation and large benefits package.",,"Options for home office work and flexible working hours to achieve a better work-life balance., Good work-life balance, tasty canteen","It is certainly one of the companies with the best corporate culture. A cohesive, yet inclusive community.",Positive comments about a high level of diversity both in the company and to the markets where they operate.,Limited carreer options because of the flat structure,"Salary bump going from intern/working student is not that great, probably not even an improvement on an hourly basis",A lot of bureaucracy. Too much.,"Sometimes workload can be exhausting, too difficult to take a holiday; not good enough work-life balance;","Toxic culture, no chance of promotion, minimal pay rise during years.","Negative comments about a command and control culture, politics, finger pointing, and poor middle management.",2510,3.7,3.66,3.71,4.01,3.89,3.91,2
917,Rainbow-Shops,"Get experience in almost everything, Upward mobility for hard workers and team players","Receive weekly paychecks and employee discount of 30%, Health benefits, 401 k, weekly pay, 30% discount, Flexible scheduling",,"Short hours, okay work environment, Good environment team work okay people, Friendly work environment, helpful and playful employees",Supportive cop workers great atmosphere,,"Pay can be poor for store associates, High turn over of staff, They need better management and to value their employees","Low pay dm play favoritism expect all things and task to be completed with a small amount of payroll, Pay isnâ€™t great but ok for a second income, Low pay for stockers as 9.50$, Few benefits.","Very poor management. Manager was racist., Rude managers , unprofessionalism ,overworked, Awful management","Hours aren't promised. Last minute call ins as well as call outs. Employees can get 0 hours for an extremely long time with no supplemental pay, Most of the time no breaks or lunches eat between customers, They don't give that much time for a lunch break and a normal break.","Treatment from District Managers, racism, Lack of care for employees",Bad pay sometimes bad hours sometimes bad customers,2517,2.58,2.14,2.56,2.59,2.59,3.01,3
918,ReSource-Pro,The company provides Growth Opportunities and supportive coworkers for career growth within the organization.,"Allowances are good, Good Salary in starting of the Carrier; Company culture, support from others, fair compensation, amazing employee benefits and perks!",Strong leadership and management practices,"The organization prioritizes work-life balance, which helps employees stay motivated.","I love the ReSourcePro Culture and environment., Great culture",,"Poor career growth opportunities, remote way of working might be difficult to cope sometimes.","Nothing, salary could be paid more",overbearing upper management; additional materials required to improve new hire training.,Work Pressure is high sometimes and Work life balance is poor,,,2586,4.3,4.19,4.28,4.26,4.35,4.27,5
919,Real-Chemistry,"The company provides top-notch training, access to resources, and talent, which can help employees succeed in their careers.","The company offers a wide range of benefits, including unlimited PTO, mental health benefits, life insurance, home office stipend, fitness stipend, career coaching, milk stork, fertility benefits, etc., making it an attractive option for many employees.","While some leaders may be lacking, the company has great leaders on both digital and comms sides who are supportive of their team members.",The hybrid work-from-home environment and flexible hours allow employees to maintain a healthy work-life balance.,"The company is driven by innovation, lives by its mission, vision, and values, and has a positive culture that encourages teamwork and collaboration.","The company prioritizes diversity and inclusion, offering many resources and initiatives to promote these values.",Some employees may feel that the career growth opportunities are limited or that the leadership structure is not well-defined.,"While the benefits seem great at first, some employees may find that the salary can feel less worth it due to long hours or high deductibles for health insurance.","Some top leaders may be lacking or phony, prioritizing their own interests over the company's values and mission.","As employees progress, work-life balance can become more challenging and demanding.","While the company's culture is generally positive, some employees may experience passive-aggressive behavior from colleagues, particularly those who are not BIPOC.","For some employees, the diversity and inclusion efforts may not be effective in creating a truly inclusive work environment.",2699,3.59,3.88,3.13,2.88,3.34,3.47,4
920,Reebok,Lots of opportunity as a resurfacing brand,Good benefits and people are generally great folks from around the nation and globe.,,Good work life balance if you can put a blindfold on and turn into a robot.,"Company culture, innovation and leadership",,"Terrible senior leadership and management of company, especially under Matt and Adidas.Very fake woke inclusion and lots of virtue signaling.",Most people who work here are not reliable or have bad work ethic which you have to adapt to. The pay is average but not what I feel is fair since you have to do everything.,Current eader isnt inspiring or engaging. Transparency isnt great. Parent company makes things difficult and requires too much process limiting entrepreneurial approach to growth.,- schedules get released and altered on the week of so (without approval) so thereâ€™s no time for work/life balance.,"Company racially discriminatory towards any intervieweeâ€™s and emplyees not Hispanic. Culture, work environment left a lot to be desired, lacking diversity in the company.",- Company racially discriminatory towards any intervieweeâ€™s and emplyees not Hispanic.,2602,3.4,3.36,3.42,3.79,3.92,3.95,1
921,Holman,"Holman Automotive prioritizes employee growth and development, offering training and mentorship to help employees advance in their careers.","The company offers competitive pay and excellent benefits, including PTO, health insurance, and quarterly bonuses.","Management is generally positive, willing to help, and committed to employee growth and development.","Holman Automotive prioritizes work-life balance, with a focus on stability and consistency in the workplace.","The company has a strong emphasis on its culture and values, creating an engaged and fun work environment.","Holman Automotive strives to create a family-oriented and inclusive employer, with a commitment to diversity and inclusion.",Pay and growth opportunities are minimal.,You lose your benefits and income when you leave the company or retire.,Management doesn't have a clue about employee relations,"Low pay, no life/work balance. It’s not uncommon to work some 8:30am to 11pm shifts a few times a week.",Friendship take priority over good work. Say they are a family company but don't always treat you like family.,The company has a history of favoritism towards certain individuals based on personal connections or politics within the organization.,3004,3.32,3.35,3.33,3.47,3.55,3.58,1
922,Renewal-by-Andersen,Many reviewers described career advancement opportunities and a positive work environment.,"The pay is pretty competitive, Great pay, good benefits, 401K match, internal training programs, community involvement, tons of PTO/sick time/holidays.",Great management and training.,,"A positive, uplifting culture with a 'family vibe' that is authentic, and they really do live their mantra with Love",Many reviewers described a diverse company that cares about their employees,Limited career advancement opportunities and same 15 people continue to get promoted over and over.,,Upper management is incredibly out of touch with reality of work load and how spread thin the teams are. Hostile upper management.,"They say 60 hours a week, 6 days a week, but more like 70+. No work life balance as between appointments you have to either train, attend a call, attend a sales meeting or attend follow up meetings with your customers",-The team leaders played favorites and the women acted like they were in high school! Everyone knows someone here thatâ€™s how they get the job. If you donâ€™t know people you better kiss their behind to be on some what of an even playing field.,"Where to start? The owner is a racist tyrant who only accepts things done the way he dictates, no room for managers to have a say in managing their teams. If youâ€™re not one of his favorites, beware. Donâ€™t voice your opinion unless itâ€™s singing the companyâ€™s praises; anything else is subject to getting you terminated.",887,3.83,4.03,3.75,3.74,3.85,3.95,2
923,Reynolds-American,Good opportunity to work for an established and well known company.,"Fair compensation, 401k match and other benefits, 'free' car & gas, great pay and decent benefits.",,"Flexible with your work day., Working independently. Setting your own schedule.","RAI is proud to be diverse as they hire women, minorities, gays, and lesbian., Diversity and Inclusion is great until it swings to overlooking more capable people in favor of 'making the percentages look good'.",Good Benefits and Salary Range,Territories are constantly being realigned and workload continues to increase--people leaving left and right and others are left to pick up the slack.,,Leadership at the top seems in over their head and doesn't seem to understand how things should be ran.,Daily travel can be gruesome depending on the area that you are assigned--good luck if you don't like it and want to move unless you have family connections to pull strings.,Culture is toxic. BAT has turned the company into BAT vs RAI long term employees.,Due to yearly restructuring of the company people are in fear of losing their jobs or being forced to move their families to other areas across the country.,1576,2.6,3.42,2.18,2.46,2.23,2.83,3
924,RingCentral,The company offers career advancement opportunities due to a large number of employees competing for positions.,"The company provides generous company holidays, affordable healthcare with an HSA option.","RingCentral sets everyone up for success with FLIGHT School, mentoring and continuing education.","Team building, and benefits, work life balance","Great in-company culture, good people to work with",,Not so great career opportunities due to a large number of employees competing for positions; No job security; Development is done mostly overseas.,salary not so competitive,,"- AT&T culture has creeped in, which is unfortunate, creating an unhealthy work environment.; COO is requiring people to report back to physical office despite previous arrangements with line managers that people can work from home permanently.","- AT&T culture has creeped in, which is unfortunate, creating an unhealthy work environment.; COO is requiring people to report back to physical office despite previous arrangements with line managers that people can work from home permanently.",Diversity and inclusion team let go....they do not care about it.,1269,4.07,4.29,3.86,4.08,4.15,4.32,5
925,Robert-Half,Large name Bonus Yearly trip Sales training,"Good work site and Salary., Benefits, quick interview process, quick offer, hybrid work model.","Direct leadership teams are available in Portland and Seattle, providing guidance and support to employees.","The company offers flexible time off, reasonable work/life balance, and great work-life balance options.",A positive and inclusive company culture is fostered through DEI and ERG/ENG initiatives.,"The company prioritizes diversity and inclusion, creating a supportive environment for employees.",,"-My health insurance is expensive. For just me, $200 a month., Cover base salary then you start bonusing",-Some senior managers may provide guidance and support to employees.,"-Long hours, big on KPI -Work life balance and shark culture., Unorganized and poor work culture.","-Thereâ€™s a lot of areas within Robert Half that need improvement. A lot of these are brought up in their anonymous GLINT surveys, but nothing is ever done to change it., -Complete lack of diversity- feeling like an odd one out if diverse - lack of DE&I in local offices, Corporate virtue signaling they do and acting like they care about you starting out.","-Internal talent team is a joke, indicating a lack of effective diversity and inclusion initiatives. Highly toxic environment and culture can be challenging for some employees.",289,3.66,3.37,3.42,3.51,3.46,3.76,1
926,Roche,"Significant pay rises during my time there, Great career opportunities with a dynamic and open-minded company, Take care of their employee","Competitive salary, generous 401k, good employee benefits, Salary is unfortunately still low compared to other pharmaceuticals. Benefits and explanations could be better.",,"Amazing working and personal life balance, great working culture, Friendly place to work. Good work life balance","Great culture, generous benefits, good people to work with, longest parental leave, Great leadership culture, Brilliant culture, and strong values, provides a sense of work purpose.",,"In the department which I worked, it was a large amount of workforce and very few problems to solve. The situation might have been changed after transformation., Right now many changes ongoing.","Compensation is a bit lower than market, pay is not that good compared to other pharmaceuticals",Large and bureaucratic Leadership not open to change,,"People including management not taking accountability and playing the blame game, Frequent restructure requires strong adaptivity, Heavy workload, need ot work for different timezones",,340,3.88,4.15,3.62,4.03,4.18,4.14,5
927,Rohde-and-Schwarz,Good scope for learning and regularly interact with customers and understanding the company products,Good compensation and benefits throughout,,"Good work life balance offered, Supportive Management. Work Life Balance, Low pressure, great devices and tons of learning possibilities.",Company has great benefits and culture and value.,,No prospects of Career Development after a certain stage,"Low Pay and not competitive to market, Limited medical benefits which is tight for a family",Senior appointments often made based on existing connections rather than external candidates.,Very long working hours,,"Like any other company in Pakistan, employees are financially exploited.",3324,3.53,3.72,3.49,4.16,3.91,3.63,2
928,SEI-Investments,Many opportunities for advancement and good work environment,"High Salary, High technology, paid overtime, Excellent vacation package.",,Flexibility and good work life balance,"Good culture, solid benefits, great people to work with, The culture is fantastic and with a focus on D&I., Great people and Culture.",,"Poor pay, can only be promoted with seniority instead of work achievements","Low salary, career growth is not defined.",Poor senior leadership and a lack of vision from top management.,,"Too much politics and sexism, A sense of detachment from upper management and lack of diversity and inclusion are issues reported by some employees.",,1910,3.7,3.28,3.43,3.66,3.88,3.94,1
929,SGS,"Lots of learning opportunities and growth, Minimal career movement., Good place to start and learn how to become a good coordinator.","Company car and benefits package, Gift card, BBQ, If you accept an extremely low wage, this place can be a good start for you. They are always looking for young graduates with motivation and who want to enter the job market. The work rhythm is very intense, so you have to learn a lot in a short period., Supportive to their staff but a lot of change going on at a present.","Got the best reporting manager which helps a lot., Friendly environment","Flexible working hours -Work from home available -Friendly working environment, Nice place to work at., Lots of opportunity to work with diverse departments to expand professional knowledge.",Nombreuses opportunitÃ©s de travailler Ã  l'international Nombreux services permettant de toucher Ã  de nombreux sujets Salaires et avantages sociaux corrects,,"Pay can be lower then average, Lack of progression, Repetition, Activities, Manque parfois de structure Secteur menÃ© par quelques gros acteurs.","There is no progression, the salaries are extremely low and the superiors consider that the wages are OK and not a problem. The workload is very high and many extra hours are made without being paid. You are not required to do them, but there's pressure to do them, Minimal career movement., Hard to move up within the company.",,"-No work life balance, Poor Work Life Balance due to more emphasis on manpower cost saving., -Office politics, new team, redeveloping image,","-Not much raise every year, Need to improve travel policy, -underpaid.",Pay disparity between men & women & colleagues in general is stark,665,3.0,2.89,2.82,3.03,3.16,3.47,3
930,SNC-Lavalin,The company offers a wide range of interesting projects and lots of opportunities for career growth.,"The salary is generally good, with great benefits and a conducive work environment.",Many senior employees have experience and are willing to mentor others.,The company understands the importance of work-life balance and has flexible scheduling options.,"The culture is conducive to creating friends and mentors, with many opportunities for involvement based on interests.",,Some employees may feel lost in the large company structure.,The salary can be low compared to industry standards.,The strict hierarchy can make it difficult for employees to utilize their expertise.,"Long hours are required, especially in engineering companies.",There is a toxic environment with many politics and poor management.,There is limited diversity in senior management roles.,1411,3.45,3.51,3.12,3.46,3.43,3.74,1
931,SUEZ,"Very co-operative Look for People Development, Good salary package. Free food and accomodation, Growth Opportunities Great Team Compensation, Very co-operative Look for People Development","Good salary package. Free food and accomodation, Money is okay. People are better.","Friendly and encouraging senior level, Great values and good ethics, SUEZ was an amazing company to work for prior the Veolia hostile takeover.",,"Dynamic Environmental beneficial Lovely people, All positive things till date",,"DonÂ´t offer good salary and job stability, DonÂ´t offer good salary and job stability",Money is okay. People are better.,,"In this role there was a low work life balance, old fashioned culture hierarchical very French if you are a foreigner, no air con demeaning supervisor whips you every now and then","Management is not good. Decision making is poor., Management is not good. Decision making is poor.",Terrible staff turnover on all levels. Certain management are just not managers and lack basic business acumen.,608,3.24,3.32,3.06,3.44,3.42,3.56,4
932,Honda,Good career opportunities are available for advancement over the course of your career,Salary is good,,Work-life balance is available but sometimes weekend working is required. The company has a good environment and culture that appreciates its workers.,Brilliant culture and excellent quality of staff,,Nothing special is mentioned as cons,,"Seniors are not as friendly and helpful to help you grow, Seniors are not as friendly and helpful to help you grow",Company should work on employees' work life balance also.,- Traditional Japanese company culture that may not suit everyone's preferences. very unethical rude co-workers no one helps you to learn.,"- Japanese is a must, which might limit job opportunities for non-Japanese speakers.",397,3.55,3.75,3.34,3.32,3.64,3.74,1
933,Sanmina,The company provides a chance to grow and develop new skills.,,,"Good work life balance for contract manufacturing without much R and D., Good work life balance. The work is related to contract manufacturing without much R and D.","Good to gain knowledge , people are so kind and supportive, Good to gain knowledge , people are so kind and supportive",,"Nothing in cons everything is good, The job goes through ups and down depending on how many active projects the company has at a time.","Low pay, bad insurance, hourly workers clocked out to avoid overtime pay., Really low salary.","Employees are not respected in working place management is not professional, Office politic which is messy, Nepotism prevails for job growth",,,Little diversity or inclusion; Blue collar workers are neglected,942,3.02,2.64,2.76,3.1,2.87,3.23,3
934,Scribe-America,The company offers room for growth within the organization and upper management can be helpful when you have good managers.,They offer decent benefits if you decide to become full-time staff with them and pay for travel expenses as well as stay for employees in upper-level roles.,"Upper management is generally supportive of their employees, especially those in leadership positions.",,,,Limited room for advancement beyond the Medical Scribe role.,Pay is minimum wage and hard to live on in expensive cities. They cap you at 40 hrs/wk including misc work opportunities like hosting info sessions at local colleges so you canâ€™t even make extra money if you wanted to.,"- Most middle management is terrible, occasionally you may luck out with someone who cares.",,,"Treatment of scribes, doctors' behaviors can be negative, and expecting employees to know information without proper training or support.",488,3.16,1.99,2.83,3.16,2.99,3.82,3
935,Securitas,Lots of opportunities for growth.,"Above average pay with little to no work, opportunities for advancement and free training.",,Quite an easy job and they are flexible with your shifts.,,,,- Hourly rate was decent - Weekly Pay,Supervisors don't respond or know anything about the post. Lots petty work drama.,"- Incorrect Paychecks - Being put on an overnight shift when I was told it would be day shift - Retaliation after applying for an accounts manager position - Management and HR treating staff as if they should just be grateful Securitas employs them. - Time Clock system is calling in on a work landline, entering employee number, pin number, etc. It takes on average 1.25 minutes to get clocked in.","Company has no culture values and is not people oriented, definitely money oriented. - anyone can work, they don't check a person's background; both criminal & experience.","- Lack of work availability here., Too many tasks passed down to SOC from empty positions and very repetitive tasks (for ex. notify the client of incidents through a few different methods. Sending out an advisory email, contact them on the phone, and notify them on a text chat). SOC is always understaffed for the year that I have been here.",254,2.84,2.72,2.66,2.83,2.77,3.42,3
936,SelectQuote,The company offers great career advancement opportunities with a well-developed engineering department.,Pay was good regarding bonuses,,"Some flexibility with work from home options, regular communication with team members","Good company values, strong teams, paid time off, supportive environment for learning and growth",,Incredibly difficult to earn a good income,Bonus is hard to get and it has been reduced From 5-6k to 1-2k commissions.,Constantly on the phone. A bit of micromanaging if you arenâ€™t immediately ready to take a call.,"Requires long hours on the phone for many employees, little room for flexibility when working from home","Comments about employee's speaking style made based on cultural background, no real emphasis on diversity and inclusion",They donâ€™t value the hard work of the people who do work here,931,3.09,3.15,2.88,2.68,2.98,3.52,3
937,Sentara-Healthcare,"The company offers various career paths, with opportunities for growth and development.",Good pay and benefits for full time staff,,"Some positive reviews of work-life balance can be found, including support for employees with issues.","A good company culture is provided, along with work from home benefits.",,Will hire anyone that meets minimum requirements,Low pay for the amount of work,"Very poor senior IT leadership. Major issues with communications, trust, morale, planning, project execution, and contracting.","Heavy work load Work life balance, Zero work/life balance; have COVID? Don't tell anyone, that's a big no no.",Employees act like if you have a college education that you may get ahead before them so they do what they can to sabotage you. Horrible,"This is corporate medicine at itâ€™s finest. It is a cost efficient, highly profitable organization that may not support you or recognize your worth.",1163,3.74,3.77,3.24,3.44,3.63,3.9,1
938,Sevita,"Flexibility of hours and the clients for the most part ar amazing, Flexible career growth and opportunities.",,Strong middle and top level leadership. Good communication. Outstanding purpose - supporting individuals with disabilities.,"Flexible schedule, family-friendly organization, manageable work-life balance.",,,"I want to be as transparent as possible So that potential Recruiters know what they are in forâ€¦ you will be Recruiting for low wage jobs, minimum wage opportunities makes it hard to fill. High turnover means your requisition volume is always high, very stressful. You will have to source for candidates.","Absolutely abysmal pay and benefits., Terrible health benefits","Higher ups reward bad employees and treat good ones horribly., Management is crap they get fired and then are brought back, getting payed on time and correct amount is rare, it's impossible to take sick time and even if it's not been approved be prepared to be locked out of your work clock till your supervisor decides to come to the office in for the 1 day every week they actully might be in the office and hope they unlock your clock. The pay is beyond low for the care and certification we are required to carry and those certification youll never see except your cpr and level one finger print clearance cause office staff dont keep up on anything.","Hard to balance life and work, stressful, always on call, demanding; Schedules all over the places due to family needs",Company culture condones hire managers incompetence 2. Upper management are unfriendly and extremely nit-picky/fussy 3. Hard work is ignored and taken for granted 4. Most of upper management doesn't have access to their colleagues' systems and errors can't be corrected swiftly.,Administration is broken in NJ. They donâ€™t see the effort put into our people and treat us as unprofessionals,1322,3.2,2.86,2.88,2.98,3.16,3.51,3
939,Shoprite-Supermarkets,Room for advancement,"Benefits are given once you are with company for so long, weekly pay, holiday pay, accrual of sick time and vacation time",,"The company understands work-life balance, making it easier to manage personal responsibilities.",Mostly back end Schedule flexibility,,"Low pay, no room for improvement, More pay and vacation time",Pay isn't the best but there's room to move up. You have to wait for full time positions to be available.,They're unprofessional when it comes to their employees. They show favoritism and don't give new employees a chance.,Overworked and the employers have no regard for scheduling around personal conflicts,"too much drama low pay and no wage increase short hours, Low pay, hourly pay wasnâ€™t enough for how many hours I would work, Poorly organized Higher ups are biased / do not listen to your viewpoints or ideas Workplace is full of drama, not very good to the workers undermines them, Lazy people coworkers are kids that feel entitled.",,512,2.98,2.8,3.0,3.11,3.13,3.61,3
940,Sidley-Austin,The company offers a great environment for growth and development.,Sidley provides competitive pay and benefits packages to its employees.,,"Some groups have manageable workloads, flexibility, and weekend work is not expected.","Culture is the best thing about Sidley, progressive and caring towards employees.",,Free market work assignment system in Litigation makes it easy to fall through the cracks as an associate,"Benefits are sub-par for peer firms; compensation adjustments depend largely on hitting billable hour numbers, salary black box and not market rate.",,Typically long Big Law hours,"Dinosaurs in charge, tolerates poor behavior.",,3072,3.8,4.29,3.75,3.19,3.85,3.76,2
941,Skechers-U.S.A.,"The company offers management positions with room to grow, indicating a potential for career advancement.",Employee benefits such as discounts and commission on every sale which boosts your salary at the end of the month,"Good pay, senior management good.","Paid time off, Work life balance. Some employees receive set days off a week and have decent work hours with lots of assistance.","The company culture was very nice, Very friendly management Healthy environment If youâ€™re an outgoing individual itâ€™s a great place for you",The company actually implements diversity and inclusion initiatives.,"Low skill job with low skill management. Most people here will have no future, No progression if you're not mates with the AM","Pay is the biggest down side for all the physical labor you have to do and I was terribly treated after coming back from leave -uncompetitive pay compared to other retailers, despite some generous perks.","Bad senior management team is older (60+ group) and tends to be verbally abusive, leading to a high turnover rate.","Bad work-life balance -management does not arrange the off days in a reasonable way, sometimes they let you work 6 days straight which can be extremely tiring. Difficult parking Busy rush hours Long days","-Inappropriate conduct isnâ€™t always self with, There is too much focus on individual sales figures and comparisons of other members, creating a cliquey environment., Conflict of the culture between global and Korea, -racist staff members - when complained to HR about racist remarks and comments made nothing was done about the situation - extremely high turnover.",-racist staff members,1044,3.06,3.07,3.03,3.28,3.28,3.66,4
942,Skyworks-Solutions,"Great individuals to work with, lots of learning opportunities. Plenty of opportunities to makes meaningful changes.","Stock options, matched 401k, recession proof, Great pay, solid benefits, and a fair work-life balance",A lot of opportunities to communicate with upper management. Relatively good management.,"Good exposure for fresh grad, Good Work and Life Balance, Good culture, Great Culture, Very good opportunity to learn, Lots of opportunities to learn/grow and make impact.",open and collabritive culture and Smart engineers,,"Lack of career opportunities for some employees, Great individuals to work with, lots of learning opportunities. Plenty of opportunities to makes meaningful changes.","Compensation not so great, Compensation and benefits could be better., Base salary they offer is less",Upper management egos/cluelessness and stinginess when it comes to resources is why you wouldn't want to work here.,"Work life balance need be improved., 12 hour shifts, Work life balance is not good. But come tape out time expect to be overloaded with work","Very negative culture. Almost all employees are stretched way too thin, they are almost always stressed and/or in a bad mood, some are very disrespectful and usually get away with it., Sexist culture with a lot of focus on hiring 'clever' engineers over ones who know how to work in a team.","Company environment makes good people difficult to work with. Company does not spend money readily, both on the factory side or for employees. Work/life can fluctuate, but you are expected to be available if there are any issues in your area.",3083,3.52,3.47,3.28,3.3,3.45,3.78,1
943,Horizon-Blue-Cross-Blue-Shield-of-New-Jersey,Good growth opportunities for advancement; Good pay and benefits.,Competitive salary; Comprehensive health insurance; 401k plan; Education reimbursement; Vacation time; Work from home flexibility.,CEO has made significant changes to improve the organization; Opportunities to work with diverse teams and learn from experts in their field.,"Work life balance, decent work hours; Ability to work fully remotely for the majority of staff.",Member-focused mission; Welcoming and inclusive environment; Efforts to promote diversity in leadership,Efforts to promote diversity in leadership; Inclusive environment with diverse teams.,"Hard to move up the career ladder; Limited growth opportunities.; Need growth opportunities, salary needs a lift too.",Insurance options are not very affordable for employees. High cost deductible and out of pockets; Increasing health benefit costs.,"Upper management does not listen to the staff. Repeated job cuts causing staff to work 2 additional hours daily, while repeatedly preaching work-life balance. Computer systems are routinely down or prohibitively slow.","Stress, too much work, long hrs; Schedule is by seniority, meaning you might get stuck with later shifts.",They only promote people they are friends with it doesn't matter what you know it only matters who you know in this place,Not very responsive to current day social issues; Beat over the head with LGBTQ legislation.,2666,3.04,3.77,3.01,3.7,3.39,3.86,1
944,Smile-Brands,Smile Brands offers career advancement opportunities through internal promotions and education programs.,"The company provides competitive benefits, including medical, vision, dental, pet insurance, paid holidays, paid time off, and a 401K with a company match.","Upper leadership makes every employee feel like part of the team picture, no matter their title.","While work/life balance can be challenging due to industry standards, Smile Brands offers flexible scheduling options.","The company has a culture built on solid principles like integrity, humility, teamwork, gratitude, and genuine care.",,"Limited career advancement opportunities in some departments, particularly the Hygiene department due to staffing issues.","$1,000 a year toward 401K",Management overworks employees with super high expectations and doesn't value their work.,"Some days are longer than others, however if you work your time correctly you do get a healthy work/life balance.","the patients are not the nicest., Pay is based on productivity of office. Too many patients not enough staff or room. Some unwilling employees when help is needed.",We are supposed to receive a quarterly bonus if we hit goal but as of lately we are not finding out our quarterly goals and not receiving the bonuses (if applicable) in a timely manner.  Bonus pay is a big part of our income and a perk to working for the company so it is important to me and I work hard to hit the goal and receive the bonus.,1340,4.19,3.99,4.18,4.18,4.24,4.4,5
945,Société-Générale,Good reputation in the field of investment bank and nice working environment,"good advantages and good salaries, Good pay and salary are paid on time, with some bonuses available.","Senior management is approachable, but could be more business-oriented.","A hybrid work model offers a good balance between work and personal life, with two days worked from the office.","The company has a great culture, excellent CSR initiatives, and good pay and benefits.",,"Low compensation as compared to the industry, Growth opportunity in terms of hike is less, Promotion is not easy to get, and there may be limited career advancement opportunities.","Salary is way below par, I hadn't gotten a raise for 3 years in a row even after being one of the top performers on the team.",,Poor work-life balance due to continuous reorganisation and lack of flexibility.,"Low diversity, particularly in finance roles, and limited representation of women in management positions., The company is not doing enough to promote diversity and inclusion.","being a giant corporate, found to have side effects of managerial bureaucracy, Micro management and politics within the company.",493,3.49,3.38,3.25,3.87,3.75,3.92,1
946,Solvay,"Some positive reviews highlight career advancement as a potential benefit, although one review states it's hard to achieve.","Several reviews praise the company's great benefits such as 401k matching, competitive pay, and medical coverage, making Solvay stand out from others.",,"A few reviews mention that work-life balance is achievable or good, although some reviewers experience long hours and difficult schedules.","Many reviews praise the company culture as positive and supportive, with a focus on trying to provide high-quality products and market leadership.",,Large company that operates in small GBUs and this makes it harder to move up to better positions.,,"Messy leadership and onboarding processes., Management team is totally lost. Continously changing the organization and the service levels dropped","Many reviewers experience difficult work schedules, including long hours on weekends and rotation shifts.","One review mentions nepotism and elitism within the company, making it seem less inclusive.","Very inner circle environment, you either belong and go along or you ain't going anywhere",1926,3.35,3.9,3.11,3.72,3.7,3.8,1
947,SonicWall,Company is refocusing on market needs and so will develop and sell what the market requires - expect career opportunities to open up as company evolves.,Competitive compensation and comprehensive benefits package.,Effective senior management that fosters a positive work environment.,Great work-life balance. Opportunity for learning new technologies Opportunities for growth Great team members and projects Remote options Flexible hours I have a great manager,"A strong company culture that prioritizes teamwork, innovation, and employee well-being. A commitment to diversity, equity, and inclusion, creating a welcoming workplace for all employees.","A commitment to diversity, equity, and inclusion, creating a welcoming workplace for all employees.","Limited career advancement opportunities, especially for lower-level positions. Career progression is slow.",The salary is pretty small Payrool can be better,Delayed promotions for seniors lot of changes in the management,Hectic work Very Minimum Break time. Work Life Balance because of timings Work-life balance is a little hard in the work environment.,"Concerns have been raised about the company's commitment to diversity, equity, and inclusion.",Some employees reported feeling excluded or marginalized due to the lack of representation from diverse groups.,1460,4.19,4.06,4.15,4.2,4.37,4.38,5
